Date,LBMP,Zone
1/1/2024 8:00:00 AM,23.77,HUD VL
1/1/2024 8:00:00 AM,24.41,LONGIL
1/1/2024 8:00:00 AM,23.57,MHK VL
1/1/2024 8:00:00 AM,23.86,MILLWD
1/1/2024 8:00:00 AM,23.96,N.Y.C.
1/1/2024 8:00:00 AM,23.68,NORTH
1/1/2024 8:00:00 AM,26.98,NPX
1/1/2024 8:00:00 AM,20.75,O H
1/1/2024 8:00:00 AM,22.25,PJM
1/1/2024 8:00:00 AM,21.37,WEST
1/1/2024 9:00:00 AM,25.49,CAPITL
1/1/2024 9:00:00 AM,24.24,CENTRL
1/1/2024 9:00:00 AM,25.64,DUNWOD
1/1/2024 9:00:00 AM,23.4,GENESE
1/1/2024 9:00:00 AM,24.8,H Q
1/1/2024 9:00:00 AM,25.52,HUD VL
1/1/2024 9:00:00 AM,26.01,LONGIL
1/1/2024 9:00:00 AM,25.34,MHK VL
1/1/2024 9:00:00 AM,25.61,MILLWD
1/1/2024 9:00:00 AM,25.71,N.Y.C.
1/1/2024 9:00:00 AM,25.37,NORTH
1/1/2024 9:00:00 AM,25.39,NPX
1/1/2024 9:00:00 AM,22.49,O H
1/1/2024 9:00:00 AM,23.89,PJM
1/1/2024 9:00:00 AM,23.2,WEST
1/1/2024 10:00:00 AM,25.61,CAPITL
1/1/2024 10:00:00 AM,24.45,CENTRL
1/1/2024 10:00:00 AM,25.66,DUNWOD
1/1/2024 10:00:00 AM,23.78,GENESE
1/1/2024 10:00:00 AM,24.99,H Q
1/1/2024 10:00:00 AM,25.56,HUD VL
1/1/2024 10:00:00 AM,25.98,LONGIL
1/1/2024 10:00:00 AM,25.46,MHK VL
1/1/2024 10:00:00 AM,25.66,MILLWD
1/1/2024 10:00:00 AM,25.69,N.Y.C.
1/1/2024 10:00:00 AM,25.59,NORTH
1/1/2024 10:00:00 AM,25.46,NPX
1/1/2024 10:00:00 AM,22.96,O H
1/1/2024 10:00:00 AM,24.05,PJM
1/1/2024 10:00:00 AM,23.67,WEST
1/1/2024 11:00:00 AM,25.93,CAPITL
1/1/2024 11:00:00 AM,24.7,CENTRL
1/1/2024 11:00:00 AM,26.06,DUNWOD
1/1/2024 11:00:00 AM,24.1,GENESE
1/1/2024 11:00:00 AM,25.3,H Q
1/1/2024 11:00:00 AM,25.93,HUD VL
1/1/2024 11:00:00 AM,26.43,LONGIL
1/1/2024 11:00:00 AM,25.8,MHK VL
1/1/2024 11:00:00 AM,26.03,MILLWD
1/1/2024 11:00:00 AM,25.99,N.Y.C.
1/1/2024 11:00:00 AM,25.91,NORTH
1/1/2024 11:00:00 AM,25.78,NPX
1/1/2024 11:00:00 AM,23.22,O H
1/1/2024 11:00:00 AM,24.29,PJM
1/1/2024 11:00:00 AM,23.9,WEST
1/1/2024 12:00:00 PM,26.47,CAPITL
1/1/2024 12:00:00 PM,25.39,CENTRL
1/1/2024 12:00:00 PM,26.7,DUNWOD
1/1/2024 12:00:00 PM,24.62,GENESE
1/1/2024 12:00:00 PM,25.83,H Q
1/1/2024 12:00:00 PM,26.54,HUD VL
